Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
2.618914127,-70.84618,-137.3151,-26.67916,0.4659331,-0.5581648,1.860041,12.37564,-50.91383,-11.54154,1000.295
2.638982773,-62.2826,-202.74,-30.67217,0.1391425,-0.2256865,1.489012,15.62808,-47.91489,-17.15198,1000.294
2.659050941,-73.39043,-243.3773,-32.39224,-0.173969,-0.080745,1.274848,15.62808,-47.91489,-17.15198,1000.294
2.679118633,-76.80345,-263.696,-31.10219,-0.4864592,0.005383216,1.152466,19.47016,-37.84095,-37.15579,1000.295
2.699187279,-73.76276,-280.4991,-28.9521,-0.7646418,0.05290893,1.113602,19.47016,-37.84095,-37.15579,1000.295
2.719255447,-71.90112,-288.9006,-24.16049,-0.9314128,0.1825364,1.121687,19.47016,-37.84095,-37.15579,1000.296
2.739324093,-74.69359,-292.8929,-9.048482,-1.036581,0.2681626,1.122516,8.027117,-21.59284,-58.89878,1000.296
2.759392261,-68.11577,-285.981,11.34659,-1.079372,0.1589389,1.118141,8.027117,-21.59284,-58.89878,1000.295
2.779460907,-65.19919,-277.4006,15.52389,-1.179495,0.04789075,1.195243,-30.79568,0.16117,-53.61404,1000.295
2.799529552,-65.69563,-269.8333,4.220599,-1.184548,-0.04859284,1.230311,-30.79568,0.16117,-53.61404,1000.293
2.819597721,-65.4474,-260.2996,-13.6558,-1.203259,-0.1164413,1.253643,-30.79568,0.16117,-53.61404,1000.293
2.839665413,-64.33041,-247.6079,-37.42957,-1.220817,-0.06434344,1.103637,-66.12119,15.14973,-20.9274,1000.296
2.859734058,-68.05371,-232.4136,-54.99882,-1.244404,0.1338165,0.9717952,-66.12119,15.14973,-20.9274,1000.296
2.879802227,-55.89095,-211.7374,-56.96461,-1.257394,0.3079441,0.7385445,-77.9001,18.21461,16.07133,1000.295
2.899870872,-33.73735,-173.4835,-33.92801,-1.453222,0.3664333,0.4019729,-77.9001,18.21461,16.07133,1000.295
2.919939041,-17.47896,-126.2917,-4.686886,-1.884707,0.4043224,-0.08009196,-68.45547,8.262947,40.81479,1000.292
2.940007687,-27.53186,-62.05856,-13.10292,-2.248949,0.2963627,-0.7422204,-68.45547,8.262947,40.81479,1000.292
2.960075855,12.05917,33.99331,-36.93813,-2.101166,-0.05073396,-0.837683,-68.45547,8.262947,40.81479,1000.293
2.980144024,60.27583,95.42597,-53.58591,-1.978816,-0.2654421,-0.3338706,-53.44474,-2.33249,51.65506,1000.293
3.000212193,193.0113,309.338,-8.557034,0.2125968,1.454682,1.747533,-53.44474,-2.33249,51.65506,1000.289
3.020280838,65.79872,363.3225,-70.04939,-0.3568303,1.910563,0.2745861,-47.13082,-4.474739,55.98778,1000.289
3.040349007,17.14767,220.3768,29.10012,-2.499944,0.1344787,2.17479,-47.13082,-4.474739,55.98778,1000.291
3.060417652,105.9482,151.5555,-19.98319,-1.841182,-0.09457171,1.787036,-47.13082,-4.474739,55.98778,1000.291
3.080485821,54.19445,106.1514,-5.239764,-0.7553418,-0.0008033514,1.232123,-61.20345,-2.791307,52.09592,1000.293
3.098045826,42.03169,63.54772,8.88935,-0.7929358,-0.04948828,1.157297,-61.20345,-2.791307,52.09592,1000.293
3.118113995,27.07646,28.69019,11.53088,-0.8480163,0.2003892,1.199847,-70.13837,-0.9974198,49.89297,1000.297
3.138182640,13.11411,6.286036,3.053411,-0.6526119,0.04278493,1.020467,-70.13837,-0.9974198,49.89297,1000.297
3.158250332,1.447783,-2.473036,-2.905389,-0.4396397,0.0210571,0.9803988,-70.13837,-0.9974198,49.89297,1000.296
3.178318977,-2.958115,0.6254116,-4.564024,-0.4259399,0.09326874,0.8255256,-73.89314,1.910985,49.05993,1000.296
3.198387146,-0.8482485,-1.579253,-6.652676,-0.4671331,-0.02209386,0.8742263,-73.89314,1.910985,49.05993,1000.294
3.218455792,3.68176,-2.175108,-2.168218,-0.4420162,-0.03752451,0.9269601,-73.9436,4.47926,49.07107,1000.294
3.238523960,4.612583,-2.115522,2.31624,-0.3782906,-0.03917234,0.8574665,-73.9436,4.47926,49.07107,1000.297
3.258592606,7.591218,2.830076,6.063527,-0.3990105,0.05835835,0.881579,-73.9436,4.47926,49.07107,1000.297
3.278660774,6.59834,4.975155,3.483428,-0.4587162,0.07871525,0.90995,-73.92069,3.350111,49.51898,1000.296
3.298729420,3.43354,6.643549,1.210483,-0.42177,0.02602737,0.9001133,-73.92069,3.350111,49.51898,1000.296
3.318797112,3.371485,12.42335,2.439102,-0.3958227,-0.01061369,0.8776938,-73.87283,4.102458,49.52232,1000.294
3.338865757,-6.867575,17.84563,11.40802,-0.381061,-0.0733543,0.8937929,-73.87283,4.102458,49.52232,1000.294
3.358933926,-5.936751,23.62542,11.34659,-0.4462152,0.005972627,0.9093158,-73.87283,4.102458,49.52232,1000.296
3.379002571,-4.819763,24.10211,9.319366,-0.4762122,0.05005456,0.8859667,-75.00842,4.468106,49.06966,1000.296
3.399070740,-2.709896,22.55288,6.677836,-0.4521573,0.03792154,0.8811865,-75.00842,4.468106,49.06966,1000.294
3.419139385,-1.903182,29.16688,8.88935,-0.4683422,0.01911398,0.9141178,-75.74006,3.337303,47.77007,1000.294
3.439207554,-6.867575,27.14097,13.37381,-0.459853,0.005799593,0.8725644,-75.74006,3.337303,47.77007,1000.295
3.459276199,-4.819763,35.72128,15.3396,-0.4430957,0.02168262,0.9039371,-75.74006,3.337303,47.77007,1000.295
3.479343891,-8.418947,40.1902,15.64675,-0.4932724,0.02491314,0.8867711,-76.91332,5.583788,46.87276,1000.295
3.499412537,-12.08019,45.55289,10.54799,-0.4737132,0.04594694,0.8713192,-76.91332,5.583788,46.87276,1000.295
3.519480705,-12.2043,60.92596,5.142063,-0.6249947,0.02069545,0.97134,-77.95152,4.075471,45.11832,1000.291
3.539549351,-5.874696,87.38193,0.5347431,-0.5021419,0.06172916,1.013223,-77.95152,4.075471,45.11832,1000.291
3.559617519,-6.371135,191.4778,9.442228,0.3885012,-0.07514562,1.617292,-77.95152,4.075471,45.11832,1000.29
